[CV] k=10 fold=2
[CV] TRAIN subjects (45): ['SC4002E0', 'SC4011E0', 'SC4012E0', 'SC4022E0', 'SC4032E0'] ...
[CV] VAL   subjects (1):   ['SC4001E0']
[CV] TEST  subjects (5):  ['SC4021E0', 'SC4031E0', 'SC4041E0', 'SC4241E0', 'SC4251E0'] ...
=== DEVICE: cuda ===
=== START TRAIN (CV fold) ===
[F2] [E08] batch 0090 | loss=0.6586 | acc=0.812
[F2] [E08] batch 0100 | loss=0.6947 | acc=0.789
[F2] [E08] batch 0110 | loss=0.7600 | acc=0.781
[F2] [E08] batch 0120 | loss=0.7283 | acc=0.773
[F2] [E08] batch 0130 | loss=0.6703 | acc=0.777
[F2] [E08] batch 0140 | loss=0.7137 | acc=0.773
[F2] [E08] batch 0150 | loss=0.6566 | acc=0.816
[F2] [E08] batch 0160 | loss=0.7256 | acc=0.773
[F2] [E08] batch 0170 | loss=0.6552 | acc=0.828
[F2] [E08] batch 0180 | loss=0.6663 | acc=0.820
[F2] [E08] batch 0190 | loss=0.6684 | acc=0.789
[F2] [E08] batch 0200 | loss=0.7127 | acc=0.777
[F2] [E08] batch 0210 | loss=0.6446 | acc=0.797
[F2] [E08] batch 0220 | loss=0.6564 | acc=0.812
[F2] [E08] batch 0230 | loss=0.7438 | acc=0.750
[F2] [E08] batch 0240 | loss=0.6935 | acc=0.789
[F2] [E08] batch 0250 | loss=0.6731 | acc=0.793
[F2] [E08] batch 0260 | loss=0.6309 | acc=0.859
[F2] [E08] batch 0270 | loss=0.7218 | acc=0.758
[F2] [E08] batch 0280 | loss=0.7323 | acc=0.773
[F2] [E08] batch 0290 | loss=0.6720 | acc=0.805
[F2] [E08] batch 0300 | loss=0.6584 | acc=0.801
[F2] [E08] batch 0310 | loss=0.7055 | acc=0.812
[F2] [E08] batch 0320 | loss=0.7465 | acc=0.785
[F2] [E08] batch 0330 | loss=0.6574 | acc=0.797
[F2] [E08] batch 0340 | loss=0.6970 | acc=0.801
[F2] [E08] batch 0350 | loss=0.7254 | acc=0.777
[F2] [E08] batch 0360 | loss=0.7088 | acc=0.793
[F2] [E08] batch 0370 | loss=0.6832 | acc=0.828
[F2] [E08] batch 0380 | loss=0.6774 | acc=0.809
[F2] [E08] batch 0390 | loss=0.7286 | acc=0.793
[F2] [E08] batch 0400 | loss=0.7436 | acc=0.750
[F2] [E08] batch 0410 | loss=0.7526 | acc=0.734
[F2] [E08] batch 0420 | loss=0.6526 | acc=0.805
[F2] [E08] batch 0430 | loss=0.6716 | acc=0.812
[F2] [E08] batch 0440 | loss=0.6656 | acc=0.824
[F2] [E08] batch 0450 | loss=0.7059 | acc=0.758
[F2] [E08] batch 0460 | loss=0.6895 | acc=0.836
[F2] [E08] batch 0470 | loss=0.6833 | acc=0.809
[F2] [E08] total_loss=330.033 | VAL acc=0.935 | F1=0.774 | kappa=0.849
[F2] [E09] batch 0000 | loss=0.7203 | acc=0.758
[F2] [E09] batch 0010 | loss=0.6940 | acc=0.801
[F2] [E09] batch 0020 | loss=0.7024 | acc=0.770
[F2] [E09] batch 0030 | loss=0.6930 | acc=0.793
[F2] [E09] batch 0040 | loss=0.6546 | acc=0.809
[F2] [E09] batch 0050 | loss=0.6965 | acc=0.789
[F2] [E09] batch 0060 | loss=0.6549 | acc=0.805
[F2] [E09] batch 0070 | loss=0.6733 | acc=0.832
[F2] [E09] batch 0080 | loss=0.6495 | acc=0.812
[F2] [E09] batch 0090 | loss=0.6923 | acc=0.805
[F2] [E09] batch 0100 | loss=0.7059 | acc=0.781
[F2] [E09] batch 0110 | loss=0.6989 | acc=0.766
[F2] [E09] batch 0120 | loss=0.7183 | acc=0.770
[F2] [E09] batch 0130 | loss=0.6923 | acc=0.816
[F2] [E09] batch 0140 | loss=0.7159 | acc=0.797
