[INFO] Transformer | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
[DBG] model dtype: torch.float32
=== START TRAIN (Transformer) ===
[E04] b0180 | loss=0.5297 | acc=0.896
[E04] b0190 | loss=0.5756 | acc=0.812
[E04] b0200 | loss=0.5570 | acc=0.823
[E04] b0210 | loss=0.5527 | acc=0.844
[E04] b0220 | loss=0.5395 | acc=0.833
[E04] b0230 | loss=0.5039 | acc=0.875
[E04] b0240 | loss=0.5733 | acc=0.854
[E04] b0250 | loss=0.5252 | acc=0.865
[E04] b0260 | loss=0.6014 | acc=0.802
[E04] b0270 | loss=0.4880 | acc=0.875
[E04] b0280 | loss=0.6368 | acc=0.792
[E04] b0290 | loss=0.6270 | acc=0.844
[E04] b0300 | loss=0.5975 | acc=0.812
[E04] b0310 | loss=0.4754 | acc=0.906
[E04] b0320 | loss=0.5961 | acc=0.833
[E04] b0330 | loss=0.6314 | acc=0.792
[E04] b0340 | loss=0.5001 | acc=0.906
[E04] b0350 | loss=0.6227 | acc=0.781
[E04] b0360 | loss=0.6092 | acc=0.812
[E04] b0370 | loss=0.5592 | acc=0.812
[E04] b0380 | loss=0.6988 | acc=0.750
[E04] b0390 | loss=0.5441 | acc=0.833
[E04] b0400 | loss=0.5160 | acc=0.854
[E04] b0410 | loss=0.5165 | acc=0.833
[E04] b0420 | loss=0.6430 | acc=0.802
[E04] b0430 | loss=0.5375 | acc=0.823
[E04] b0440 | loss=0.5745 | acc=0.854
[E04] b0450 | loss=0.5590 | acc=0.844
[E04] b0460 | loss=0.6110 | acc=0.833
[E04] b0470 | loss=0.4902 | acc=0.896
[E04] b0480 | loss=0.4529 | acc=0.875
[E04] b0490 | loss=0.5825 | acc=0.854
[E04] b0500 | loss=0.4648 | acc=0.906
[E04] b0510 | loss=0.5447 | acc=0.844
[E04] b0520 | loss=0.5336 | acc=0.875
[E04] b0530 | loss=0.7138 | acc=0.781
[E04] b0540 | loss=0.5273 | acc=0.854
[E04] b0550 | loss=0.5313 | acc=0.885
[E04] b0560 | loss=0.5525 | acc=0.865
[E04] b0570 | loss=0.6941 | acc=0.792
[E04] b0580 | loss=0.5107 | acc=0.865
[E04] b0590 | loss=0.5128 | acc=0.823
[E04] b0600 | loss=0.5881 | acc=0.812
[E04] b0610 | loss=0.5947 | acc=0.875
[E04] b0620 | loss=0.6482 | acc=0.771
[E04] b0630 | loss=0.5603 | acc=0.854
[E04] b0640 | loss=0.5198 | acc=0.844
