[INFO] CNN+BiLSTM | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
=== START TRAIN ===
[E04] b1020 | loss=0.5824 | acc=0.812
[E04] total_loss=584.954 | VAL acc=0.865 | F1=0.692 | kappa=0.738
[E05] b0000 | loss=0.5581 | acc=0.852
[E05] b0010 | loss=0.5190 | acc=0.883
[E05] b0020 | loss=0.4890 | acc=0.891
[E05] b0030 | loss=0.4986 | acc=0.883
[E05] b0040 | loss=0.5669 | acc=0.836
[E05] b0050 | loss=0.7404 | acc=0.781
[E05] b0060 | loss=0.5260 | acc=0.852
[E05] b0070 | loss=0.4700 | acc=0.891
[E05] b0080 | loss=0.5710 | acc=0.852
[E05] b0090 | loss=0.6020 | acc=0.820
[E05] b0100 | loss=0.5481 | acc=0.852
[E05] b0110 | loss=0.5257 | acc=0.867
[E05] b0120 | loss=0.5786 | acc=0.828
[E05] b0130 | loss=0.5113 | acc=0.875
[E05] b0140 | loss=0.5249 | acc=0.891
[E05] b0150 | loss=0.5384 | acc=0.875
[E05] b0160 | loss=0.5228 | acc=0.867
[E05] b0170 | loss=0.5830 | acc=0.852
[E05] b0180 | loss=0.6114 | acc=0.766
[E05] b0190 | loss=0.5340 | acc=0.844
[E05] b0200 | loss=0.6011 | acc=0.836
[E05] b0210 | loss=0.4928 | acc=0.867
[E05] b0220 | loss=0.5426 | acc=0.836
[E05] b0230 | loss=0.5206 | acc=0.875
[E05] b0240 | loss=0.5759 | acc=0.844
[E05] b0250 | loss=0.5590 | acc=0.867
[E05] b0260 | loss=0.5598 | acc=0.852
[E05] b0270 | loss=0.5175 | acc=0.883
[E05] b0280 | loss=0.6209 | acc=0.836
[E05] b0290 | loss=0.5811 | acc=0.836
[E05] b0300 | loss=0.5874 | acc=0.836
[E05] b0310 | loss=0.4560 | acc=0.875
[E05] b0320 | loss=0.5461 | acc=0.836
[E05] b0330 | loss=0.6342 | acc=0.805
[E05] b0340 | loss=0.5215 | acc=0.867
[E05] b0350 | loss=0.5901 | acc=0.852
[E05] b0360 | loss=0.5490 | acc=0.820
[E05] b0370 | loss=0.4542 | acc=0.906
[E05] b0380 | loss=0.5166 | acc=0.875
[E05] b0390 | loss=0.5728 | acc=0.836
[E05] b0400 | loss=0.5901 | acc=0.852
[E05] b0410 | loss=0.5284 | acc=0.836
[E05] b0420 | loss=0.5928 | acc=0.820
[E05] b0430 | loss=0.4658 | acc=0.859
[E05] b0440 | loss=0.5009 | acc=0.859
[E05] b0450 | loss=0.5379 | acc=0.836
[E05] b0460 | loss=0.6024 | acc=0.797
[E05] b0470 | loss=0.5859 | acc=0.852
[E05] b0480 | loss=0.5544 | acc=0.836
[E05] b0490 | loss=0.6006 | acc=0.812
[E05] b0500 | loss=0.4612 | acc=0.891
[E05] b0510 | loss=0.4677 | acc=0.875
[E05] b0520 | loss=0.5221 | acc=0.859
[E05] b0530 | loss=0.5820 | acc=0.820
[E05] b0540 | loss=0.5271 | acc=0.859
[E05] b0550 | loss=0.5701 | acc=0.836
[E05] b0560 | loss=0.5471 | acc=0.859
[E05] b0570 | loss=0.5405 | acc=0.875
[E05] b0580 | loss=0.4732 | acc=0.891
[E05] b0590 | loss=0.5683 | acc=0.859
[E05] b0600 | loss=0.5677 | acc=0.828
[E05] b0610 | loss=0.5572 | acc=0.844
[E05] b0620 | loss=0.5971 | acc=0.828
[E05] b0630 | loss=0.6272 | acc=0.812
[E05] b0640 | loss=0.5468 | acc=0.844
[E05] b0650 | loss=0.6472 | acc=0.797
[E05] b0660 | loss=0.5634 | acc=0.844
[E05] b0670 | loss=0.5260 | acc=0.836
[E05] b0680 | loss=0.5200 | acc=0.852
[E05] b0690 | loss=0.5561 | acc=0.852
[E05] b0700 | loss=0.5750 | acc=0.859
[E05] b0710 | loss=0.5769 | acc=0.844
[E05] b0720 | loss=0.5434 | acc=0.875
[E05] b0730 | loss=0.5510 | acc=0.867
[E05] b0740 | loss=0.5092 | acc=0.859
[E05] b0750 | loss=0.5826 | acc=0.852
[E05] b0760 | loss=0.6154 | acc=0.836
[E05] b0770 | loss=0.5207 | acc=0.891
[E05] b0780 | loss=0.6237 | acc=0.789
[E05] b0790 | loss=0.4990 | acc=0.867
[E05] b0800 | loss=0.5826 | acc=0.844
[E05] b0810 | loss=0.5712 | acc=0.820
[E05] b0820 | loss=0.5514 | acc=0.836
[E05] b0830 | loss=0.5236 | acc=0.867
[E05] b0840 | loss=0.4994 | acc=0.883
[E05] b0850 | loss=0.4780 | acc=0.891
[E05] b0860 | loss=0.5633 | acc=0.836
[E05] b0870 | loss=0.5364 | acc=0.852
[E05] b0880 | loss=0.5253 | acc=0.852
[E05] b0890 | loss=0.5181 | acc=0.852
[E05] b0900 | loss=0.5101 | acc=0.859
[E05] b0910 | loss=0.5813 | acc=0.883
[E05] b0920 | loss=0.4960 | acc=0.891
[E05] b0930 | loss=0.7153 | acc=0.805
[E05] b0940 | loss=0.5036 | acc=0.859
[E05] b0950 | loss=0.4530 | acc=0.891
[E05] b0960 | loss=0.5422 | acc=0.883
[E05] b0970 | loss=0.5404 | acc=0.859
[E05] b0980 | loss=0.4791 | acc=0.852
[E05] b0990 | loss=0.5263 | acc=0.852
[E05] b1000 | loss=0.5757 | acc=0.852
[E05] b1010 | loss=0.5174 | acc=0.836
[E05] b1020 | loss=0.6694 | acc=0.820
[E05] total_loss=565.318 | VAL acc=0.874 | F1=0.670 | kappa=0.757
[E06] b0000 | loss=0.5559 | acc=0.844
[E06] b0010 | loss=0.4892 | acc=0.883
[E06] b0020 | loss=0.5147 | acc=0.875
[E06] b0030 | loss=0.6247 | acc=0.812
[E06] b0040 | loss=0.5179 | acc=0.891
[E06] b0050 | loss=0.6120 | acc=0.828
[E06] b0060 | loss=0.6166 | acc=0.820
[E06] b0070 | loss=0.5721 | acc=0.844
[E06] b0080 | loss=0.5215 | acc=0.883
[E06] b0090 | loss=0.5240 | acc=0.867
[E06] b0100 | loss=0.5279 | acc=0.875
[E06] b0110 | loss=0.5838 | acc=0.844
[E06] b0120 | loss=0.4603 | acc=0.898
[E06] b0130 | loss=0.5004 | acc=0.875
[E06] b0140 | loss=0.5181 | acc=0.859
[E06] b0150 | loss=0.5089 | acc=0.883
[E06] b0160 | loss=0.5698 | acc=0.836
[E06] b0170 | loss=0.4684 | acc=0.875
[E06] b0180 | loss=0.6003 | acc=0.820
[E06] b0190 | loss=0.6159 | acc=0.812
[E06] b0200 | loss=0.5550 | acc=0.828
